'FECHA';'COMERCIO/CAJERO';'IMPORTE';'MONEDA';'CONCEPTO';'ESTADO';'SEQ';'Clave_Concepto';'Categoria';'Subcategoria';'Fijos_Variables'
15/04/2020;'COMUNIDAD MES EN CURSO';-20,00 €;'EUROS';'BBVA';'PAGADO';1;'COMUNIDAD';'Gastos_Vivienda y vehiculo';'Comunidad';'FIJO'
17/04/2020;'HAB. BBVA INFORMATION TECHNOLOGY ES';1.714,81 €;'EUROS';'BBVA';'PAGADO';1;'HAB';'Ingresos';'Nomina';'FIJO'
28/04/2020;'TRANSFBBVABCLM';-1.200,00 €;'EUROS';'BBVA';'PAGADO';1;'TRANSFBBVABCLM';'No computable';'traspasos, transf.';
04/05/2020;'Banda Escola';-36,00 €;'EUROS';'BBVA';'PAGADO';1;'BANDA';'Gastos_Salud, saber y deporte';'Estudios';'VARIABLES'
04/05/2020;'Banda Escola';-36,00 €;'EUROS';'BBVA';'PAGADO';1;'BANDA';'Gastos_Salud, saber y deporte';'Estudios';'VARIABLES'
04/05/2020;'LA REINA DE MI CASA';-144,00 €;'EUROS';'BBVA';'PAGADO';1;'REINA';'Gastos_Vivienda y vehiculo';'Serv. domestico';'FIJO'
11/05/2020;'SANITAS';-47,90 €;'EUROS';'BBVA';'PAGADO';1;'SANITAS';'Gastos_Salud, saber y deporte';'Medico';'VARIABLES'
11/05/2020;'BIZUM';-56,95 €;'EUROS';'BBVA';'PAGADO';1;'BIZUM';'Gastos_Gastos varios';'Transferencias';'VARIABLES'
12/05/2020;'Banda Escola';144,00 €;'EUROS';'BBVA';'PAGADO';1;'BANDA';'Gastos_Salud, saber y deporte';'Estudios';'VARIABLES'
15/05/2020;'COMUNIDAD MES EN CURSO';-20,00 €;'EUROS';'BBVA';'PAGADO';1;'COMUNIDAD';'Gastos_Vivienda y vehiculo';'Comunidad';'FIJO'
19/05/2020;'HAB. BBVA INFORMATION TECHNOLOGY ES';1.716,45 €;'EUROS';'BBVA';'PAGADO';1;'HAB';'Ingresos';'Nomina';'FIJO'
20/05/2020;'BIZUM SAMARRETAS';-22,00 €;'EUROS';'BBVA';'PAGADO';1;'BIZUM';'Gastos_Gastos varios';'Transferencias';'VARIABLES'
28/05/2020;'TRANSFBBVABCLM';-1.200,00 €;'EUROS';'BBVA';'PAGADO';1;'TRANSFBBVABCLM';'No computable';'traspasos, transf.';
01/06/2020;'SANITAS';-47,90 €;'EUROS';'BBVA';'PAGADO';1;'SANITAS';'Gastos_Salud, saber y deporte';'Medico';'VARIABLES'
01/06/2020;'LA REINA DE MI CASA';-180,00 €;'EUROS';'BBVA';'PAGADO';1;'REINA';'Gastos_Vivienda y vehiculo';'Serv. domestico';'FIJO'
17/06/2020;'COMUNIDAD MES EN CURSO';-20,00 €;'EUROS';'BBVA';'PAGADO';1;'COMUNIDAD';'Gastos_Vivienda y vehiculo';'Comunidad';'FIJO'
02/07/2020;'SANITAS';-47,90 €;'EUROS';'BBVA';'PAGADO';1;'SANITAS';'Gastos_Salud, saber y deporte';'Medico';'VARIABLES'
17/07/2020;'COMUNIDAD MES EN CURSO';-20,00 €;'EUROS';'BBVA';'PAGADO';1;'COMUNIDAD';'Gastos_Vivienda y vehiculo';'Comunidad';'FIJO'
02/08/2020;'SANITAS';-47,90 €;'EUROS';'BBVA';'PAGADO';1;'SANITAS';'Gastos_Salud, saber y deporte';'Medico';'VARIABLES'
17/08/2020;'COMUNIDAD MES EN CURSO';-20,00 €;'EUROS';'BBVA';'PAGADO';1;'COMUNIDAD';'Gastos_Vivienda y vehiculo';'Comunidad';'FIJO'
02/09/2020;'SANITAS';-47,90 €;'EUROS';'BBVA';'PAGADO';1;'SANITAS';'Gastos_Salud, saber y deporte';'Medico';'VARIABLES'
17/09/2020;'COMUNIDAD MES EN CURSO';-20,00 €;'EUROS';'BBVA';'PAGADO';1;'COMUNIDAD';'Gastos_Vivienda y vehiculo';'Comunidad';'FIJO'
02/10/2020;'SANITAS';-47,90 €;'EUROS';'BBVA';'PAGADO';1;'SANITAS';'Gastos_Salud, saber y deporte';'Medico';'VARIABLES'
17/10/2020;'COMUNIDAD MES EN CURSO';-20,00 €;'EUROS';'BBVA';'PAGADO';1;'COMUNIDAD';'Gastos_Vivienda y vehiculo';'Comunidad';'FIJO'
