'FECHA';'COMERCIO/CAJERO';'IMPORTE';'MONEDA';'CONCEPTO';'ESTADO';'SEQ';'Clave_Concepto';'Categoria';'Subcategoria';'Fijo_Variable'
01/07/2016;'CAFET.C T PRAT\PR';-3,65 €;'EUROS';'Compras.';'PAGADO';782;'CAFETC';'Gastos_Ocio y transporte';'Restaurantes';'VARIABLES'
02/07/2016;'AUTOPISTAS TER\CAN SERRA I';-2,51 €;'EUROS';'Compras.';'PAGADO';783;'AUTOPISTAS';'Gastos_Ocio y transporte';'Parking y peaje';'VARIABLES'
02/07/2016;'AUTOPISTAS TER\CAN SERRA I';-2,51 €;'EUROS';'Compras.';'PAGADO';784;'AUTOPISTAS';'Gastos_Ocio y transporte';'Parking y peaje';'VARIABLES'
02/07/2016;'LA TERRASSETA';-4,35 €;'EUROS';'Compras.';'PAGADO';785;'TERRASSETA';'Gastos_Ocio y transporte';'Restaurantes';'VARIABLES'
02/07/2016;'VIENA PARC VALLES';-18,20 €;'EUROS';'Compras.';'PAGADO';786;'VIENA';'Gastos_Ocio y transporte';'Restaurantes';'VARIABLES'
02/07/2016;'BCT SANT CUGAT\SA';-31,15 €;'EUROS';'Compras.';'PAGADO';787;'BCT';'Gastos_Ocio y transporte';'Gasolina';'VARIABLES'
02/07/2016;'MEDIA MARKT SANT\';-38,48 €;'EUROS';'Compras.';'PAGADO';788;'MEDIA';'Gastos_Compras';'Hobbys';'VARIABLES'
02/07/2016;'SATURN E515 EL\PR';-41,92 €;'EUROS';'Compras.';'PAGADO';789;'SATURN';'Gastos_Compras';'Hobbys';'VARIABLES'
03/07/2016;'REDPIZZA';-17,65 €;'EUROS';'Compras.';'PAGADO';790;'REDPIZZA';'Gastos_Ocio y transporte';'Restaurantes';'VARIABLES'
04/07/2016;'AUTOPISTAS TER\CAN SERRA I';-1,38 €;'EUROS';'Compras.';'PAGADO';791;'AUTOPISTAS';'Gastos_Ocio y transporte';'Parking y peaje';'VARIABLES'
04/07/2016;'AUTOPISTAS TER\CAN SERRA I';-1,38 €;'EUROS';'Compras.';'PAGADO';792;'AUTOPISTAS';'Gastos_Ocio y transporte';'Parking y peaje';'VARIABLES'
04/07/2016;'CAFET.C T PRAT\PR';-4,50 €;'EUROS';'Compras.';'PAGADO';793;'CAFETC';'Gastos_Ocio y transporte';'Restaurantes';'VARIABLES'
05/07/2016;'AUTOPISTAS TER\CAN SERRA I';-1,38 €;'EUROS';'Compras.';'PAGADO';794;'AUTOPISTAS';'Gastos_Ocio y transporte';'Parking y peaje';'VARIABLES'
05/07/2016;'AUTOPISTAS TER\CAN SERRA I';-1,38 €;'EUROS';'Compras.';'PAGADO';795;'AUTOPISTAS';'Gastos_Ocio y transporte';'Parking y peaje';'VARIABLES'
05/07/2016;'CAFET.C T PRAT\PR';-3,95 €;'EUROS';'Compras.';'PAGADO';796;'CAFETC';'Gastos_Ocio y transporte';'Restaurantes';'VARIABLES'
05/07/2016;'VIENA PARC VALLES';-14,45 €;'EUROS';'Compras.';'PAGADO';797;'VIENA';'Gastos_Ocio y transporte';'Restaurantes';'VARIABLES'
05/07/2016;'PARC VALLES';-32,47 €;'EUROS';'Compras.';'PAGADO';798;'PARC';'Gastos_Compras';'Supermercado';'VARIABLES'
06/07/2016;'AUTOPISTAS TER\CAN SERRA I';-1,38 €;'EUROS';'Compras.';'PAGADO';799;'AUTOPISTAS';'Gastos_Ocio y transporte';'Parking y peaje';'VARIABLES'
06/07/2016;'AUTOPISTAS TERR';-1,38 €;'EUROS';'Compras.';'PAGADO';800;'AUTOPISTAS';'Gastos_Ocio y transporte';'Parking y peaje';'VARIABLES'
06/07/2016;'CAFET.C T PRAT\PR';-3,65 €;'EUROS';'Compras.';'PAGADO';801;'CAFETC';'Gastos_Ocio y transporte';'Restaurantes';'VARIABLES'
06/07/2016;'TABASA VALLVI S. C:2T';-3,70 €;'EUROS';'Compras.';'PAGADO';802;'TABASA';'Gastos_Ocio y transporte';'Parking y peaje';'VARIABLES'
06/07/2016;'BUSCOUNCHOLLO.COM';-276,00 €;'EUROS';'Compras.';'PAGADO';803;'BUSCOUNCHOLLOCOM';'Gastos_Ocio y transporte';'Vacaciones';'VARIABLES'
07/07/2016;'AUTOPISTAS TERR';-1,38 €;'EUROS';'Compras.';'PAGADO';804;'AUTOPISTAS';'Gastos_Ocio y transporte';'Parking y peaje';'VARIABLES'
07/07/2016;'E.S. CAN CASANOVE';-32,99 €;'EUROS';'Compras.';'PAGADO';805;'CAN';'Gastos_Ocio y transporte';'Gasolina';'VARIABLES'
08/07/2016;'AUTOPISTAS TERR';-1,38 €;'EUROS';'Compras.';'PAGADO';806;'AUTOPISTAS';'Gastos_Ocio y transporte';'Parking y peaje';'VARIABLES'
08/07/2016;'CAFET.C T PRAT\PR';-3,65 €;'EUROS';'Compras.';'PAGADO';807;'CAFETC';'Gastos_Ocio y transporte';'Restaurantes';'VARIABLES'
